Data,CastigSalarial,NumarSalariati,Populatie,Somaj,PIB
2016-01-01T00:00:00,17232,1221692,3176049,26656,232285.7
2016-02-01T00:00:00,17232,1221692,3176049,26359,232285.7
2016-03-01T00:00:00,17232,1221692,3176049,25650,232285.7
2016-04-01T00:00:00,17232,1221692,3176049,25128,232105.1
2016-05-01T00:00:00,17232,1221692,3176049,25044,232105.1
2016-06-01T00:00:00,17232,1221692,3176049,24775,232105.1
2016-07-01T00:00:00,17232,1221692,3176049,25406,232950.3
2016-08-01T00:00:00,17232,1221692,3176049,25424,232950.3
2016-09-01T00:00:00,17232,1221692,3176049,25168,232950.3
2016-10-01T00:00:00,17232,1221692,3176049,24744,233377.7
2016-11-01T00:00:00,17232,1221692,3176049,23892,233377.7
2016-12-01T00:00:00,17232,1221692,3176049,23787,233377.7
2017-01-01T00:00:00,19577,1254724,3143404,23756,244496.6
2017-02-01T00:00:00,19577,1254724,3143404,23539,244496.6
2017-03-01T00:00:00,19577,1254724,3143404,23078,244496.6
2017-04-01T00:00:00,19577,1254724,3143404,22509,251781.8
2017-05-01T00:00:00,19577,1254724,3143404,22107,251781.8
2017-06-01T00:00:00,19577,1254724,3143404,22177,251781.8
2017-07-01T00:00:00,19577,1254724,3143404,22472,255544.6
2017-08-01T00:00:00,19577,1254724,3143404,22418,255544.6
2017-09-01T00:00:00,19577,1254724,3143404,22387,255544.6
2017-10-01T00:00:00,19577,1254724,3143404,22232,255172.6
2017-11-01T00:00:00,19577,1254724,3143404,22007,255172.6
2017-12-01T00:00:00,19577,1254724,3143404,21931,255172.6
2018-01-01T00:00:00,26230,1296495,3137484,21896,258576.4
2018-02-01T00:00:00,26230,1296495,3137484,21754,258576.4
2018-03-01T00:00:00,26230,1296495,3137484,21511,258576.4
2018-04-01T00:00:00,26230,1296495,3137484,21405,263825.8
2018-05-01T00:00:00,26230,1296495,3137484,21156,263825.8
2018-06-01T00:00:00,26230,1296495,3137484,20870,263825.8
2018-07-01T00:00:00,26230,1296495,3137484,20525,270366.7
2018-08-01T00:00:00,26230,1296495,3137484,20550,270366.7
2018-09-01T00:00:00,26230,1296495,3137484,20352,270366.7
2018-10-01T00:00:00,26230,1296495,3137484,19321,268549.4
2018-11-01T00:00:00,26230,1296495,3137484,18685,268549.4
2018-12-01T00:00:00,26230,1296495,3137484,18651,268549.4
2019-01-01T00:00:00,29193,1328999,3131524,18712,269216.7
2019-02-01T00:00:00,29193,1328999,3131524,18546,269216.7
2019-03-01T00:00:00,29193,1328999,3131524,18524,269216.7
2019-04-01T00:00:00,29193,1328999,3131524,18175,275637.2
2019-05-01T00:00:00,29193,1328999,3131524,18178,275637.2
2019-06-01T00:00:00,29193,1328999,3131524,18223,275637.2
2019-07-01T00:00:00,29193,1328999,3131524,18406,276744.0
2019-08-01T00:00:00,29193,1328999,3131524,18582,276744.0
2019-09-01T00:00:00,29193,1328999,3131524,18601,276744.0
2019-10-01T00:00:00,29193,1328999,3131524,18478,281751.6
2019-11-01T00:00:00,29193,1328999,3131524,18319,281751.6
2019-12-01T00:00:00,29193,1328999,3131524,18255,281751.6
2020-01-01T00:00:00,31165,1296507,3139230,18278,274945.9
2020-02-01T00:00:00,31165,1296507,3139230,17900,274945.9
2020-03-01T00:00:00,31165,1296507,3139230,17921,274945.9
2020-04-01T00:00:00,31165,1296507,3139230,18674,252266.8
2020-05-01T00:00:00,31165,1296507,3139230,18959,252266.8
2020-06-01T00:00:00,31165,1296507,3139230,19405,252266.8
2020-07-01T00:00:00,31165,1296507,3139230,19883,261753.8
2020-08-01T00:00:00,31165,1296507,3139230,20165,261753.8
2020-09-01T00:00:00,31165,1296507,3139230,20047,261753.8
2020-10-01T00:00:00,31165,1296507,3139230,19864,274684.2
2020-11-01T00:00:00,31165,1296507,3139230,19772,274684.2
2020-12-01T00:00:00,31165,1296507,3139230,19705,274684.2
2021-01-01T00:00:00,33355,1301644,3100729,19592,278403.6
2021-02-01T00:00:00,33355,1301644,3100729,19625,278403.6
2021-03-01T00:00:00,33355,1301644,3100729,19480,278403.6
2021-04-01T00:00:00,33355,1301644,3100729,19324,281216.4
2021-05-01T00:00:00,33355,1301644,3100729,19074,281216.4
2021-06-01T00:00:00,33355,1301644,3100729,18534,281216.4
2021-07-01T00:00:00,33355,1301644,3100729,18317,281814.3
2021-08-01T00:00:00,33355,1301644,3100729,18011,281814.3
2021-09-01T00:00:00,33355,1301644,3100729,17632,281814.3
2021-10-01T00:00:00,33355,1301644,3100729,17262,281646.4
2021-11-01T00:00:00,33355,1301644,3100729,16817,281646.4
2021-12-01T00:00:00,33355,1301644,3100729,16734,281646.4
2022-01-01T00:00:00,36638,1321494,2907276,16582,290724.1
2022-02-01T00:00:00,36638,1321494,2907276,16187,290724.1
2022-03-01T00:00:00,36638,1321494,2907276,16021,290724.1
2022-04-01T00:00:00,36638,1321494,2907276,15802,291211.6
2022-05-01T00:00:00,36638,1321494,2907276,15683,291211.6
2022-06-01T00:00:00,36638,1321494,2907276,15659,291211.6
2022-07-01T00:00:00,36638,1321494,2907276,15778,292394.8
2022-08-01T00:00:00,36638,1321494,2907276,15722,292394.8
2022-09-01T00:00:00,36638,1321494,2907276,15537,292394.8
2022-10-01T00:00:00,36638,1321494,2907276,15552,295781.3
2022-11-01T00:00:00,36638,1321494,2907276,15328,295781.3
2022-12-01T00:00:00,36638,1321494,2907276,15271,295781.3
2023-01-01T00:00:00,42148,1365097,2900084,15203,295344.8
2023-02-01T00:00:00,42148,1365097,2900084,14704,295344.8
2023-03-01T00:00:00,42148,1365097,2900084,14627,295344.8
2023-04-01T00:00:00,42148,1365097,2900084,14398,298210.1
2023-05-01T00:00:00,42148,1365097,2900084,14559,298210.1
2023-06-01T00:00:00,42148,1365097,2900084,14900,298210.1
2023-07-01T00:00:00,42148,1365097,2900084,14921,300818.9
2023-08-01T00:00:00,42148,1365097,2900084,14427,300818.9
2023-09-01T00:00:00,42148,1365097,2900084,14424,300818.9
2023-10-01T00:00:00,42148,1365097,2900084,14597,302156.1
2023-11-01T00:00:00,42148,1365097,2900084,13940,302156.1
2023-12-01T00:00:00,42148,1365097,2900084,13469,302156.1
2024-01-01T00:00:00,48528,1391630,2886895,13279,301495.8
2024-02-01T00:00:00,48528,1391630,2886895,13209,301495.8
2024-03-01T00:00:00,48528,1391630,2886895,13128,301495.8
2024-04-01T00:00:00,48528,1391630,2886895,12936,299835.3
2024-05-01T00:00:00,48528,1391630,2886895,12628,299835.3
2024-06-01T00:00:00,48528,1391630,2886895,12526,299835.3
2024-07-01T00:00:00,48528,1391630,2886895,12423,301673.4
2024-08-01T00:00:00,48528,1391630,2886895,12414,301673.4
2024-09-01T00:00:00,48528,1391630,2886895,12457,301673.4
2024-10-01T00:00:00,48528,1391630,2886895,12222,304485.7
2024-11-01T00:00:00,48528,1391630,2886895,11830,304485.7
2024-12-01T00:00:00,48528,1391630,2886895,11458,304485.7
2025-01-01T00:00:00,48528,1391630,2856708,11250,303518.5
2025-02-01T00:00:00,48528,1391630,2856708,10977,303518.5
2025-03-01T00:00:00,48528,1391630,2856708,10656,303518.5
2025-04-01T00:00:00,48528,1391630,2856708,10487,306098.8
2025-05-01T00:00:00,48528,1391630,2856708,10426,306098.8
2025-06-01T00:00:00,48528,1391630,2856708,10147,306098.8
2025-07-01T00:00:00,48528,1391630,2856708,10027,305948.9
2025-08-01T00:00:00,48528,1391630,2856708,9840,305948.9
2025-09-01T00:00:00,48528,1391630,2856708,9610,305948.9
2025-10-01T00:00:00,48528,1391630,2856708,9544,300108.7
2025-11-01T00:00:00,48528,1391630,2856708,9388,300108.7
2025-12-01T00:00:00,48528,1391630,2856708,9054,300108.7
